sale_unique_id,item_nbr,item_vendor,item_department,store_nbr,sales_date,sequence_nbr,item_category,sales_qty,item_cost
100204027-27,100204,502,18,113,2026-09-06,27,,15,399.78
100204028-28,100204,502,22,117,2026-09-07,28,,87,361.87
100204029-29,100204,502,29,119,2026-09-08,29,,47,8.09
100204030-30,100204,502,21,113,2026-09-09,30,,99,109.77
100205001-1,100205,502,15,105,2026-08-11,1,,77,254.58
100205002-2,100205,502,21,118,2026-08-12,2,,73,132.36
100205003-3,100205,502,26,106,2026-08-13,3,,58,287.31
100205004-4,100205,502,26,118,2026-08-14,4,,45,282.78
100205005-5,100205,502,12,112,2026-08-15,5,,3,499.06
100205006-6,100205,502,18,110,2026-08-16,6,,66,153.5
100205007-7,100205,502,28,106,2026-08-17,7,,23,129.72
100205008-8,100205,502,16,110,2026-08-18,8,,76,284.04
100205009-9,100205,502,20,109,2026-08-19,9,,46,491.99
100205010-10,100205,502,29,105,2026-08-20,10,,68,420.89
100205011-11,100205,502,22,102,2026-08-21,11,,77,161.71
100205012-12,100205,502,24,102,2026-08-22,12,,66,191.41
100205013-13,100205,502,16,118,2026-08-23,13,,64,281.94
100205014-14,100205,502,23,114,2026-08-24,14,,42,316.31
100205015-15,100205,502,27,120,2026-08-25,15,,20,184.13
100205016-16,100205,502,21,118,2026-08-26,16,,52,123.1
100205017-17,100205,502,21,103,2026-08-27,17,,74,203.82
100205018-18,100205,502,25,101,2026-08-28,18,,16,299.58
100205019-19,100205,502,23,118,2026-08-29,19,,42,362.36
100205020-20,100205,502,29,105,2026-08-30,20,,92,304.09
100205021-21,100205,502,19,102,2026-08-31,21,,80,274.14
100205022-22,100205,502,16,111,2026-09-01,22,,40,306.95
100205023-23,100205,502,14,104,2026-09-02,23,,85,112.5
100205024-24,100205,502,29,104,2026-09-03,24,,96,382.72
100205025-25,100205,502,14,101,2026-09-04,25,,62,130.62
100205026-26,100205,502,14,108,2026-09-05,26,,72,32.57
100205027-27,100205,502,25,103,2026-09-06,27,,98,369.88
100205028-28,100205,502,16,118,2026-09-07,28,,44,82.77
100205029-29,100205,502,26,106,2026-09-08,29,,11,137.49
100205030-30,100205,502,11,107,2026-09-09,30,,74,313.45
100206001-1,100206,502,10,111,2026-08-11,1,,90,69.23
100206002-2,100206,502,18,111,2026-08-12,2,,44,16.56
100206003-3,100206,502,12,105,2026-08-13,3,,50,206.88
100206004-4,100206,502,29,104,2026-08-14,4,,34,137.55
100206005-5,100206,502,18,108,2026-08-15,5,,87,492.14
100206006-6,100206,502,11,106,2026-08-16,6,,76,18.46
100206007-7,100206,502,26,118,2026-08-17,7,,46,461.64
100206008-8,100206,502,14,106,2026-08-18,8,,22,250.98
100206009-9,100206,502,15,109,2026-08-19,9,,96,205.8
100206010-10,100206,502,23,106,2026-08-20,10,,23,379.68
100206011-11,100206,502,24,110,2026-08-21,11,,52,246.21
100206012-12,100206,502,24,118,2026-08-22,12,,37,101.21
100206013-13,100206,502,25,106,2026-08-23,13,,97,344.33
100206014-14,100206,502,17,109,2026-08-24,14,,96,145.29
100206015-15,100206,502,19,110,2026-08-25,15,,66,225.52
100206016-16,100206,502,24,118,2026-08-26,16,,59,244.03
100206017-17,100206,502,22,119,2026-08-27,17,,90,413.8
100206018-18,100206,502,23,105,2026-08-28,18,,80,197.53
100206019-19,100206,502,29,118,2026-08-29,19,,37,70.06
100206020-20,100206,502,11,107,2026-08-30,20,,87,221.07
100206021-21,100206,502,16,105,2026-08-31,21,,14,433.3
100206022-22,100206,502,10,108,2026-09-01,22,,33,495.26
100206023-23,100206,502,16,115,2026-09-02,23,,78,312.69
100206024-24,100206,502,10,117,2026-09-03,24,,99,47.51
100206025-25,100206,502,13,101,2026-09-04,25,,22,223.75
100206026-26,100206,502,16,115,2026-09-05,26,,90,10.76
100206027-27,100206,502,22,107,2026-09-06,27,,85,163.05
100206028-28,100206,502,20,109,2026-09-07,28,,61,39.74
100206029-29,100206,502,11,111,2026-09-08,29,,32,427.53
100206030-30,100206,502,10,107,2026-09-09,30,,21,69.12
100207001-1,100207,502,29,114,2026-08-11,1,,92,49.13
100207002-2,100207,502,15,116,2026-08-12,2,,68,289.79
100207003-3,100207,502,11,102,2026-08-13,3,,93,442.09
100207004-4,100207,502,14,102,2026-08-14,4,,34,56.51
100207005-5,100207,502,28,110,2026-08-15,5,,68,223.5
100207006-6,100207,502,16,116,2026-08-16,6,,32,153.41
100207007-7,100207,502,11,107,2026-08-17,7,,43,271.88
100207008-8,100207,502,23,119,2026-08-18,8,,27,53.7
100207009-9,100207,502,22,102,2026-08-19,9,,29,465.88
100207010-10,100207,502,20,102,2026-08-20,10,,54,226.45
100207011-11,100207,502,14,113,2026-08-21,11,,78,220.85
100207012-12,100207,502,14,118,2026-08-22,12,,52,63.82
100207013-13,100207,502,12,107,2026-08-23,13,,67,103.19
100207014-14,100207,502,13,105,2026-08-24,14,,65,196.39
100207015-15,100207,502,29,111,2026-08-25,15,,19,477.02
100207016-16,100207,502,14,103,2026-08-26,16,,31,65.21
100207017-17,100207,502,16,102,2026-08-27,17,,18,48.41
100207018-18,100207,502,28,116,2026-08-28,18,,84,383.8
100207019-19,100207,502,18,104,2026-08-29,19,,89,346.46
100207020-20,100207,502,25,101,2026-08-30,20,,97,29.65
100207021-21,100207,502,21,109,2026-08-31,21,,51,387.03
100207022-22,100207,502,16,118,2026-09-01,22,,87,163.03
100207023-23,100207,502,23,102,2026-09-02,23,,75,155.41
100207024-24,100207,502,18,105,2026-09-03,24,,58,337.89
100207025-25,100207,502,22,114,2026-09-04,25,,40,109.77
100207026-26,100207,502,10,117,2026-09-05,26,,27,32.65
100207027-27,100207,502,20,119,2026-09-06,27,,10,288.08
100207028-28,100207,502,27,109,2026-09-07,28,,51,421.26
100207029-29,100207,502,18,101,2026-09-08,29,,54,482.42
100207030-30,100207,502,18,119,2026-09-09,30,,66,416.39
100208001-1,100208,502,14,116,2026-08-11,1,,75,11.34
100208002-2,100208,502,17,119,2026-08-12,2,,52,454.43
100208003-3,100208,502,29,101,2026-08-13,3,,76,49.45
100208004-4,100208,502,25,115,2026-08-14,4,,25,370.68
100208005-5,100208,502,21,115,2026-08-15,5,,44,182.92
100208006-6,100208,502,18,107,2026-08-16,6,,28,16.77
100208007-7,100208,502,23,108,2026-08-17,7,,4,390.92
100208008-8,100208,502,16,118,2026-08-18,8,,84,175.4
100208009-9,100208,502,13,111,2026-08-19,9,,99,272.35
100208010-10,100208,502,25,112,2026-08-20,10,,11,281.05
100208011-11,100208,502,23,102,2026-08-21,11,,11,119.9
100208012-12,100208,502,18,113,2026-08-22,12,,2,369.17
100208013-13,100208,502,22,117,2026-08-23,13,,59,11.89
100208014-14,100208,502,10,106,2026-08-24,14,,66,138.43
100208015-15,100208,502,16,103,2026-08-25,15,,28,34.22
100208016-16,100208,502,17,106,2026-08-26,16,,37,190.42
100208017-17,100208,502,11,107,2026-08-27,17,,18,237.87
100208018-18,100208,502,26,119,2026-08-28,18,,96,239.33
100208019-19,100208,502,11,103,2026-08-29,19,,38,86.6
100208020-20,100208,502,28,101,2026-08-30,20,,65,340.1
100208021-21,100208,502,23,115,2026-08-31,21,,45,446.3
100208022-22,100208,502,11,104,2026-09-01,22,,45,346.97
100208023-23,100208,502,23,117,2026-09-02,23,,75,161.46
100208024-24,100208,502,19,111,2026-09-03,24,,76,109.82
100208025-25,100208,502,22,102,2026-09-04,25,,40,85.16
100208026-26,100208,502,15,107,2026-09-05,26,,14,202.72
100208027-27,100208,502,28,113,2026-09-06,27,,25,18.59
100208028-28,100208,502,17,119,2026-09-07,28,,89,168.66
100208029-29,100208,502,21,114,2026-09-08,29,,54,32.11
100208030-30,100208,502,12,119,2026-09-09,30,,87,134.77
100209001-1,100209,502,24,113,2026-08-11,1,,59,238.79
100209002-2,100209,502,10,114,2026-08-12,2,,95,228.61
100209003-3,100209,502,18,113,2026-08-13,3,,27,85.58
100209004-4,100209,502,23,119,2026-08-14,4,,48,175.18
100209005-5,100209,502,19,111,2026-08-15,5,,72,480.9
100209006-6,100209,502,24,104,2026-08-16,6,,49,277.07
100209007-7,100209,502,28,119,2026-08-17,7,,4,40.11
100209008-8,100209,502,25,119,2026-08-18,8,,57,168.9
100209009-9,100209,502,18,114,2026-08-19,9,,75,12.14
100209010-10,100209,502,21,104,2026-08-20,10,,23,474.54
100209011-11,100209,502,17,101,2026-08-21,11,,82,417.54
100209012-12,100209,502,13,118,2026-08-22,12,,54,57.11
100209013-13,100209,502,17,116,2026-08-23,13,,25,345.57
100209014-14,100209,502,11,117,2026-08-24,14,,20,111.59
100209015-15,100209,502,28,109,2026-08-25,15,,17,100.97
100209016-16,100209,502,10,113,2026-08-26,16,,49,442.25
100209017-17,100209,502,27,114,2026-08-27,17,,29,141.55
100209018-18,100209,502,11,114,2026-08-28,18,,100,239.15
100209019-19,100209,502,23,118,2026-08-29,19,,84,279.51
100209020-20,100209,502,21,120,2026-08-30,20,,26,330.41
100209021-21,100209,502,26,105,2026-08-31,21,,47,371
100209022-22,100209,502,21,116,2026-09-01,22,,85,499.98
100209023-23,100209,502,21,109,2026-09-02,23,,8,384.61
100209024-24,100209,502,11,119,2026-09-03,24,,75,212.61
100209025-25,100209,502,28,109,2026-09-04,25,,70,368.31
100209026-26,100209,502,25,106,2026-09-05,26,,26,16.86
100209027-27,100209,502,20,115,2026-09-06,27,,99,436.28
100209028-28,100209,502,14,115,2026-09-07,28,,21,309.82
100209029-29,100209,502,18,106,2026-09-08,29,,68,240.84
100209030-30,100209,502,13,120,2026-09-09,30,,11,178.9
100210001-1,100210,502,22,110,2026-08-11,1,,61,149.97
100210002-2,100210,502,14,101,2026-08-12,2,,39,212.12
100210003-3,100210,502,20,120,2026-08-13,3,,2,114.27
100210004-4,100210,502,10,102,2026-08-14,4,,40,97.45
100210005-5,100210,502,28,110,2026-08-15,5,,27,120.82
100210006-6,100210,502,15,101,2026-08-16,6,,52,27.74
100210007-7,100210,502,28,111,2026-08-17,7,,9,107.59
100210008-8,100210,502,27,118,2026-08-18,8,,44,47.3
100210009-9,100210,502,22,105,2026-08-19,9,,83,220.95
100210010-10,100210,502,15,109,2026-08-20,10,,78,270.55
100210011-11,100210,502,17,110,2026-08-21,11,,26,488.26
100210012-12,100210,502,25,104,2026-08-22,12,,67,299.77
100210013-13,100210,502,22,109,2026-08-23,13,,57,395.19
100210014-14,100210,502,24,106,2026-08-24,14,,79,369.28
100210015-15,100210,502,23,114,2026-08-25,15,,67,193.24
100210016-16,100210,502,11,118,2026-08-26,16,,34,37.74
100210017-17,100210,502,25,103,2026-08-27,17,,90,469.99
100210018-18,100210,502,10,104,2026-08-28,18,,52,8
100210019-19,100210,502,16,118,2026-08-29,19,,29,475.61
100210020-20,100210,502,15,102,2026-08-30,20,,48,100.21
100210021-21,100210,502,17,117,2026-08-31,21,,9,241.36
100210022-22,100210,502,27,109,2026-09-01,22,,96,284.6
100210023-23,100210,502,16,105,2026-09-02,23,,94,23.81
100210024-24,100210,502,22,102,2026-09-03,24,,94,128.7
100210025-25,100210,502,29,115,2026-09-04,25,,4,156.64
100210026-26,100210,502,19,103,2026-09-05,26,,19,395.1
100210027-27,100210,502,24,107,2026-09-06,27,,1,172.14
100210028-28,100210,502,22,106,2026-09-07,28,,97,450.71
100210029-29,100210,502,15,101,2026-09-08,29,,81,475.4
100210030-30,100210,502,15,113,2026-09-09,30,,29,6.92
100301001-1,100301,503,17,116,2026-08-11,1,,77,285.56
100301002-2,100301,503,10,110,2026-08-12,2,,78,159.36
100301003-3,100301,503,11,109,2026-08-13,3,,21,499.41
100301004-4,100301,503,25,118,2026-08-14,4,,88,112.76
100301005-5,100301,503,26,101,2026-08-15,5,,15,256.25
100301006-6,100301,503,19,116,2026-08-16,6,,24,223.08
100301007-7,100301,503,28,117,2026-08-17,7,,1,254.81
100301008-8,100301,503,18,110,2026-08-18,8,,17,67.94
100301009-9,100301,503,16,110,2026-08-19,9,,35,308.1
100301010-10,100301,503,13,114,2026-08-20,10,,42,114.05
100301011-11,100301,503,24,107,2026-08-21,11,,26,179.64
100301012-12,100301,503,25,117,2026-08-22,12,,81,338.92
100301013-13,100301,503,23,104,2026-08-23,13,,76,198.11
100301014-14,100301,503,26,116,2026-08-24,14,,8,236.65
100301015-15,100301,503,26,112,2026-08-25,15,,46,291.55
100301016-16,100301,503,25,102,2026-08-26,16,,25,37.77
100301017-17,100301,503,19,107,2026-08-27,17,,81,84.99
100301018-18,100301,503,12,116,2026-08-28,18,,93,267.99
100301019-19,100301,503,22,102,2026-08-29,19,,60,242.91
100301020-20,100301,503,12,107,2026-08-30,20,,86,230.83
100301021-21,100301,503,21,115,2026-08-31,21,,27,490.77
100301022-22,100301,503,10,120,2026-09-01,22,,31,47.89
100301023-23,100301,503,17,117,2026-09-02,23,,72,273.85
100301024-24,100301,503,15,110,2026-09-03,24,,9,119.83
100301025-25,100301,503,22,103,2026-09-04,25,,67,176.41
100301026-26,100301,503,18,105,2026-09-05,26,,11,291.72
100301027-27,100301,503,17,117,2026-09-06,27,,92,62.93
100301028-28,100301,503,18,109,2026-09-07,28,,81,248.93
100301029-29,100301,503,18,103,2026-09-08,29,,77,135.5
100301030-30,100301,503,21,119,2026-09-09,30,,47,440.73
100302001-1,100302,503,12,106,2026-08-11,1,,100,296.75
100302002-2,100302,503,29,114,2026-08-12,2,,38,223.61
100302003-3,100302,503,20,109,2026-08-13,3,,40,326.08
100302004-4,100302,503,22,101,2026-08-14,4,,84,210.52
100302005-5,100302,503,15,102,2026-08-15,5,,90,447.39
100302006-6,100302,503,19,108,2026-08-16,6,,9,176.67
100302007-7,100302,503,19,112,2026-08-17,7,,23,198.81
100302008-8,100302,503,18,115,2026-08-18,8,,88,101.5
100302009-9,100302,503,13,108,2026-08-19,9,,64,462.38
100302010-10,100302,503,16,101,2026-08-20,10,,11,414.8
100302011-11,100302,503,24,103,2026-08-21,11,,30,232.94
100302012-12,100302,503,28,101,2026-08-22,12,,13,354.54
100302013-13,100302,503,19,103,2026-08-23,13,,21,282.84
100302014-14,100302,503,23,108,2026-08-24,14,,75,175.26
100302015-15,100302,503,11,120,2026-08-25,15,,74,76.65
100302016-16,100302,503,22,108,2026-08-26,16,,17,11.04
100302017-17,100302,503,25,115,2026-08-27,17,,81,209.34
100302018-18,100302,503,23,105,2026-08-28,18,,24,295.12
100302019-19,100302,503,28,114,2026-08-29,19,,48,138.59
100302020-20,100302,503,14,109,2026-08-30,20,,47,177.36
100302021-21,100302,503,12,107,2026-08-31,21,,7,205.54
100302022-22,100302,503,28,102,2026-09-01,22,,83,100.06
100302023-23,100302,503,25,109,2026-09-02,23,,67,69.39
100302024-24,100302,503,19,118,2026-09-03,24,,93,259.4
100302025-25,100302,503,21,102,2026-09-04,25,,18,251.09
100302026-26,100302,503,13,113,2026-09-05,26,,63,409
100302027-27,100302,503,14,114,2026-09-06,27,,95,303.5
100302028-28,100302,503,12,117,2026-09-07,28,,67,54.78
100302029-29,100302,503,13,101,2026-09-08,29,,85,73.17
100302030-30,100302,503,23,111,2026-09-09,30,,97,363.7
100303001-1,100303,503,12,111,2026-08-11,1,,20,442.79
100303002-2,100303,503,21,111,2026-08-12,2,,35,258.76
100303003-3,100303,503,11,104,2026-08-13,3,,98,316.23
100303004-4,100303,503,15,113,2026-08-14,4,,62,135.26
100303005-5,100303,503,24,104,2026-08-15,5,,37,53.24
100303006-6,100303,503,15,118,2026-08-16,6,,98,357.45
100303007-7,100303,503,18,106,2026-08-17,7,,92,411.66
100303008-8,100303,503,13,113,2026-08-18,8,,30,194.93
100303009-9,100303,503,25,109,2026-08-19,9,,39,470.16
100303010-10,100303,503,18,114,2026-08-20,10,,57,366.06
100303011-11,100303,503,20,109,2026-08-21,11,,19,406.47
100303012-12,100303,503,28,107,2026-08-22,12,,81,359.44
100303013-13,100303,503,27,111,2026-08-23,13,,85,255.65
100303014-14,100303,503,15,120,2026-08-24,14,,62,417.23
100303015-15,100303,503,24,117,2026-08-25,15,,73,416.98
100303016-16,100303,503,26,102,2026-08-26,16,,82,296.46
100303017-17,100303,503,28,118,2026-08-27,17,,2,307.15
100303018-18,100303,503,22,120,2026-08-28,18,,63,101.71
100303019-19,100303,503,14,105,2026-08-29,19,,39,230.52
100303020-20,100303,503,23,117,2026-08-30,20,,31,185.1
100303021-21,100303,503,17,119,2026-08-31,21,,40,157.02
100303022-22,100303,503,22,108,2026-09-01,22,,39,228.74
100303023-23,100303,503,14,105,2026-09-02,23,,84,457.87
100303024-24,100303,503,25,106,2026-09-03,24,,62,236.42
100303025-25,100303,503,20,105,2026-09-04,25,,30,168.55
100303026-26,100303,503,21,105,2026-09-05,26,,78,419.62
100303027-27,100303,503,21,117,2026-09-06,27,,45,19.34
100303028-28,100303,503,18,104,2026-09-07,28,,4,123.64
100303029-29,100303,503,19,108,2026-09-08,29,,35,266.83
100303030-30,100303,503,24,117,2026-09-09,30,,18,222.37
100304001-1,100304,503,19,118,2026-08-11,1,,96,93.32
100304002-2,100304,503,12,120,2026-08-12,2,,100,173.46
100304003-3,100304,503,18,102,2026-08-13,3,,67,270.87
100304004-4,100304,503,16,107,2026-08-14,4,,62,178.51
100304005-5,100304,503,17,109,2026-08-15,5,,37,99.77
100304006-6,100304,503,12,107,2026-08-16,6,,55,293.83
100304007-7,100304,503,10,110,2026-08-17,7,,53,193.06
100304008-8,100304,503,26,103,2026-08-18,8,,57,97.03
100304009-9,100304,503,17,109,2026-08-19,9,,53,446.42
100304010-10,100304,503,20,119,2026-08-20,10,,26,184.24
100304011-11,100304,503,23,114,2026-08-21,11,,45,257.07
100304012-12,100304,503,16,107,2026-08-22,12,,7,154.3
100304013-13,100304,503,14,108,2026-08-23,13,,14,381.58
100304014-14,100304,503,26,108,2026-08-24,14,,57,488.13
100304015-15,100304,503,10,111,2026-08-25,15,,70,46.75
100304016-16,100304,503,28,114,2026-08-26,16,,14,43.7
100304017-17,100304,503,20,104,2026-08-27,17,,20,365.46
100304018-18,100304,503,16,112,2026-08-28,18,,86,311.62
100304019-19,100304,503,14,112,2026-08-29,19,,36,179.24
100304020-20,100304,503,25,111,2026-08-30,20,,22,271.72
100304021-21,100304,503,25,105,2026-08-31,21,,7,293.73
100304022-22,100304,503,10,101,2026-09-01,22,,73,29.29
100304023-23,100304,503,12,118,2026-09-02,23,,93,342.24
100304024-24,100304,503,22,111,2026-09-03,24,,35,418.59
100304025-25,100304,503,17,118,2026-09-04,25,,99,196.13
100304026-26,100304,503,13,111,2026-09-05,26,,96,499.97
100304027-27,100304,503,29,106,2026-09-06,27,,68,239.05
100304028-28,100304,503,12,114,2026-09-07,28,,62,92.09
100304029-29,100304,503,19,106,2026-09-08,29,,39,345.08
100304030-30,100304,503,15,117,2026-09-09,30,,2,88.88
100305001-1,100305,503,22,116,2026-08-11,1,,40,436.25
100305002-2,100305,503,12,102,2026-08-12,2,,29,322.64
100305003-3,100305,503,13,116,2026-08-13,3,,28,188.75
100305004-4,100305,503,16,119,2026-08-14,4,,75,146.11
100305005-5,100305,503,16,113,2026-08-15,5,,77,214.58
100305006-6,100305,503,28,110,2026-08-16,6,,30,59.53
100305007-7,100305,503,16,115,2026-08-17,7,,31,256.94
100305008-8,100305,503,18,113,2026-08-18,8,,47,485.46
100305009-9,100305,503,19,116,2026-08-19,9,,48,225.7
100305010-10,100305,503,22,110,2026-08-20,10,,27,303.74
100305011-11,100305,503,10,106,2026-08-21,11,,41,446.24
100305012-12,100305,503,21,118,2026-08-22,12,,84,100.89
100305013-13,100305,503,11,110,2026-08-23,13,,40,21.18
100305014-14,100305,503,16,116,2026-08-24,14,,49,192.22
100305015-15,100305,503,13,111,2026-08-25,15,,91,299.94
100305016-16,100305,503,25,114,2026-08-26,16,,82,85.82
100305017-17,100305,503,12,112,2026-08-27,17,,47,462.87
100305018-18,100305,503,10,105,2026-08-28,18,,22,91.65
100305019-19,100305,503,14,106,2026-08-29,19,,53,382.54
100305020-20,100305,503,29,116,2026-08-30,20,,59,220.21
100305021-21,100305,503,16,111,2026-08-31,21,,56,34.6
100305022-22,100305,503,19,105,2026-09-01,22,,86,38.71
100305023-23,100305,503,11,110,2026-09-02,23,,21,202.46
100305024-24,100305,503,20,102,2026-09-03,24,,92,285.05
100305025-25,100305,503,28,109,2026-09-04,25,,53,346.84
100305026-26,100305,503,22,102,2026-09-05,26,,11,212.35
100305027-27,100305,503,18,103,2026-09-06,27,,17,308.09
100305028-28,100305,503,17,103,2026-09-07,28,,72,301.1
