SAP_Journal_document_nbr,SAP_Journal_credit_store,SAP_Journal_debit_store,SAP_journal_date,Transaction_Date,SAP_Journal_amount,SAP_Journal_credit_amt,SAP_Journal_debit_amt,SAP_journal_credit_account,SAP_journal_debit_amount,Transaction_Timestamp
4d30d0fb5f7e4531bb01,109,501,2026-09-02,2026-09-02,8899.83,8899.83,8899.83,,,2026-09-12 23:05:03
9d2cfd6239b2488e9f83,110,501,2026-09-03,2026-09-03,256.08,256.08,256.08,,,2026-09-12 23:05:03
55400eb711674f76ab26,117,501,2026-09-04,2026-09-04,1517.31,1517.31,1517.31,,,2026-09-12 23:05:03
f453cdefdb654c8b9f6c,117,501,2026-09-05,2026-09-05,4733.98,4733.98,4733.98,,,2026-09-12 23:05:03
a087d18e88764754b4ea,103,501,2026-09-06,2026-09-06,4156.13,4156.13,4156.13,,,2026-09-12 23:05:03
784efa0542934289860b,113,501,2026-09-07,2026-09-07,2683.54,2683.54,2683.54,,,2026-09-12 23:05:03
b7bb1e8c79dd43de873e,101,501,2026-09-08,2026-09-08,2525.68,2525.68,2525.68,,,2026-09-12 23:05:03
9978892a34f9400db5c8,113,501,2026-09-09,2026-09-09,5605.76,5605.76,5605.76,,,2026-09-12 23:05:03
4d1955cec42a43c7a396,110,501,2026-08-11,2026-08-11,887.08,887.08,887.08,,,2026-09-12 23:05:03
eeb680ff7a3945beb0a4,109,501,2026-08-12,2026-08-12,723.36,723.36,723.36,,,2026-09-12 23:05:03
3f97f2c836224f8a8d82,115,501,2026-08-13,2026-08-13,3811.89,3811.89,3811.89,,,2026-09-12 23:05:03
bc288bd333754992ad15,107,501,2026-08-14,2026-08-14,646.96,646.96,646.96,,,2026-09-12 23:05:03
39f883de96d148c3817e,120,501,2026-08-15,2026-08-15,1504.75,1504.75,1504.75,,,2026-09-12 23:05:03
2e247a162f4b4c7180ac,107,501,2026-08-16,2026-08-16,3740.39,3740.39,3740.39,,,2026-09-12 23:05:03
ff4b248f3d8c4ba088c0,105,501,2026-08-17,2026-08-17,3504.34,3504.34,3504.34,,,2026-09-12 23:05:03
43080559fe574913afdb,107,501,2026-08-18,2026-08-18,1265.01,1265.01,1265.01,,,2026-09-12 23:05:03
131fc889471f4dc28c3d,103,501,2026-08-19,2026-08-19,72.39,72.39,72.39,,,2026-09-12 23:05:03
e412c0b42bc0489d8914,109,501,2026-08-20,2026-08-20,1046.96,1046.96,1046.96,,,2026-09-12 23:05:03
a17f08eccc3d488bb7ed,104,501,2026-08-21,2026-08-21,592.44,592.44,592.44,,,2026-09-12 23:05:03
8ac2babcbec5465ea1d9,116,501,2026-08-22,2026-08-22,1274.8,1274.8,1274.8,,,2026-09-12 23:05:03
0fec4a771219480ab9f0,101,501,2026-08-23,2026-08-23,1941.54,1941.54,1941.54,,,2026-09-12 23:05:03
215f5b8f07e94eb0b219,120,501,2026-08-24,2026-08-24,4707.92,4707.92,4707.92,,,2026-09-12 23:05:03
75fc5bb940a14cd6bb8e,105,501,2026-08-25,2026-08-25,1859.83,1859.83,1859.83,,,2026-09-12 23:05:03
5d2328f366e1412fa193,108,501,2026-08-26,2026-08-26,3546.6,3546.6,3546.6,,,2026-09-12 23:05:03
61f00092de43431e8cf9,105,501,2026-08-27,2026-08-27,4106.94,4106.94,4106.94,,,2026-09-12 23:05:03
1d02717385e647f18e07,116,501,2026-08-28,2026-08-28,1881.75,1881.75,1881.75,,,2026-09-12 23:05:03
46e288db187742578a1d,118,501,2026-08-29,2026-08-29,2118.41,2118.41,2118.41,,,2026-09-12 23:05:03
72eb213a0b4b44a09c53,114,501,2026-08-30,2026-08-30,13.41,13.41,13.41,,,2026-09-12 23:05:03
6a85193bd90542eea0c3,102,501,2026-08-31,2026-08-31,758.27,758.27,758.27,,,2026-09-12 23:05:03
8a1a8f1fc2c44c9dac78,112,501,2026-09-01,2026-09-01,8257.83,8257.83,8257.83,,,2026-09-12 23:05:03
f4eafbfe04dc48fcb889,113,501,2026-09-02,2026-09-02,4031.27,4031.27,4031.27,,,2026-09-12 23:05:03
e9e3ca64dd214f94a747,106,501,2026-09-03,2026-09-03,478.96,478.96,478.96,,,2026-09-12 23:05:03
ddd9bf3390f34047982d,104,501,2026-09-04,2026-09-04,2803.96,2803.96,2803.96,,,2026-09-12 23:05:03
9c3ef59a9cee47d1a2b5,104,501,2026-09-05,2026-09-05,904.79,904.79,904.79,,,2026-09-12 23:05:03
61e4ebbd0e6b46ab8058,109,501,2026-09-06,2026-09-06,1563.91,1563.91,1563.91,,,2026-09-12 23:05:03
cd12f62b55254dcabbf6,115,501,2026-09-07,2026-09-07,1299.64,1299.64,1299.64,,,2026-09-12 23:05:03
e4fd45fcf46b4057af54,109,501,2026-09-08,2026-09-08,30.2,30.2,30.2,,,2026-09-12 23:05:03
0c03e5a578c9453c9940,104,501,2026-09-09,2026-09-09,180.17,180.17,180.17,,,2026-09-12 23:05:03
b3b467111bfc43e298af,120,501,2026-08-11,2026-08-11,2503.68,2503.68,2503.68,,,2026-09-12 23:05:03
52b4319763df448e9037,109,501,2026-08-12,2026-08-12,3111.68,3111.68,3111.68,,,2026-09-12 23:05:03
ded181ab46d94be9ad70,113,501,2026-08-13,2026-08-13,1871.17,1871.17,1871.17,,,2026-09-12 23:05:03
ac11e5ddddfc4515b104,110,501,2026-08-14,2026-08-14,6249.86,6249.86,6249.86,,,2026-09-12 23:05:03
09a29d17aaea4865afda,120,501,2026-08-15,2026-08-15,7183.45,7183.45,7183.45,,,2026-09-12 23:05:03
757db11d05eb4d13a6b8,103,501,2026-08-16,2026-08-16,2224.12,2224.12,2224.12,,,2026-09-12 23:05:03
d7de5c08cab745d2a41d,105,501,2026-08-17,2026-08-17,7989.73,7989.73,7989.73,,,2026-09-12 23:05:03
77a58fe2c25f4e6f9df6,118,501,2026-08-18,2026-08-18,137.05,137.05,137.05,,,2026-09-12 23:05:03
2387764d75d940d496ab,110,501,2026-08-19,2026-08-19,800.36,800.36,800.36,,,2026-09-12 23:05:03
ef0497cb98854d218a72,118,501,2026-08-20,2026-08-20,793.79,793.79,793.79,,,2026-09-12 23:05:03
33a61726b1714e77bfa4,112,501,2026-08-21,2026-08-21,2414.56,2414.56,2414.56,,,2026-09-12 23:05:03
1896a095aeeb4079b091,105,501,2026-08-22,2026-08-22,4089.38,4089.38,4089.38,,,2026-09-12 23:05:03
3c2cb9e283ba4d05a2b1,102,501,2026-08-23,2026-08-23,1017.47,1017.47,1017.47,,,2026-09-12 23:05:03
bc8271f1c5674f82bfb0,110,501,2026-08-24,2026-08-24,1621.87,1621.87,1621.87,,,2026-09-12 23:05:03
c925337ace55473db4d6,103,501,2026-08-25,2026-08-25,5475.69,5475.69,5475.69,,,2026-09-12 23:05:03
af89385052be4461990c,102,501,2026-08-26,2026-08-26,2750.37,2750.37,2750.37,,,2026-09-12 23:05:03
b8f688b572a246e0b60b,108,501,2026-08-27,2026-08-27,3683.11,3683.11,3683.11,,,2026-09-12 23:05:03
d74e1165b77c4ab790f2,103,501,2026-08-28,2026-08-28,504.24,504.24,504.24,,,2026-09-12 23:05:03
7eb9fd1d6f4a4aa595a3,108,501,2026-08-29,2026-08-29,1443.8,1443.8,1443.8,,,2026-09-12 23:05:03
7ed71bc0713f488786e9,114,501,2026-08-30,2026-08-30,3172.7,3172.7,3172.7,,,2026-09-12 23:05:03
06c4fbabd6d04900bd68,106,501,2026-08-31,2026-08-31,19.67,19.67,19.67,,,2026-09-12 23:05:03
0d3d0416d2fc4882a1d7,120,501,2026-09-01,2026-09-01,5506.99,5506.99,5506.99,,,2026-09-12 23:05:03
72c3ccdeb03f4261a1b4,105,501,2026-09-02,2026-09-02,1339.07,1339.07,1339.07,,,2026-09-12 23:05:03
3e7e3315bb1e4eca9bde,113,501,2026-09-03,2026-09-03,4763.5,4763.5,4763.5,,,2026-09-12 23:05:03
0a6413119ddd4f30a5b5,113,501,2026-09-04,2026-09-04,2103.94,2103.94,2103.94,,,2026-09-12 23:05:03
3fd07fc56c344dcb9727,112,501,2026-09-05,2026-09-05,10366.25,10366.25,10366.25,,,2026-09-12 23:05:03
b960a77acf7c492fb82a,108,501,2026-09-06,2026-09-06,3273.04,3273.04,3273.04,,,2026-09-12 23:05:03
0ea2755bc6e847abb9e4,120,501,2026-09-07,2026-09-07,5186.9,5186.9,5186.9,,,2026-09-12 23:05:03
bc57621009284f66a906,115,501,2026-09-08,2026-09-08,2023.5,2023.5,2023.5,,,2026-09-12 23:05:03
634cb311598e4fafbe69,112,501,2026-09-09,2026-09-09,8484.98,8484.98,8484.98,,,2026-09-12 23:05:03
265273dd4c69496b8d6e,110,501,2026-08-11,2026-08-11,17.96,17.96,17.96,,,2026-09-12 23:05:03
9a65da6a93c8444291d9,116,501,2026-08-12,2026-08-12,7431.08,7431.08,7431.08,,,2026-09-12 23:05:03
5e804e0cdfbb44868ce3,116,501,2026-08-13,2026-08-13,440.15,440.15,440.15,,,2026-09-12 23:05:03
f1384628a2aa40fa814b,118,501,2026-08-14,2026-08-14,1320.56,1320.56,1320.56,,,2026-09-12 23:05:03
8e7e0d0ee1204741bd9c,102,501,2026-08-15,2026-08-15,540.66,540.66,540.66,,,2026-09-12 23:05:03
dc11d9d88f154918971d,120,501,2026-08-16,2026-08-16,862.61,862.61,862.61,,,2026-09-12 23:05:03
856019a3660b4101a6cf,109,501,2026-08-17,2026-08-17,1131.46,1131.46,1131.46,,,2026-09-12 23:05:03
cce818f624334789ba5d,109,501,2026-08-18,2026-08-18,721.04,721.04,721.04,,,2026-09-12 23:05:03
725ef729bd07459fb3e0,118,501,2026-08-19,2026-08-19,6339.69,6339.69,6339.69,,,2026-09-12 23:05:03
7a732fa050f04b159b4c,108,501,2026-08-20,2026-08-20,2397.93,2397.93,2397.93,,,2026-09-12 23:05:03
67caa923b7fc4a0f90e3,110,501,2026-08-21,2026-08-21,9877.06,9877.06,9877.06,,,2026-09-12 23:05:03
8954074ee45a4595b720,120,501,2026-08-22,2026-08-22,6527.17,6527.17,6527.17,,,2026-09-12 23:05:03
56edc52dd2594aa09fb5,102,501,2026-08-23,2026-08-23,6663.26,6663.26,6663.26,,,2026-09-12 23:05:03
32a1833044ea4cc4a75c,115,501,2026-08-24,2026-08-24,2398.45,2398.45,2398.45,,,2026-09-12 23:05:03
f37bb7cf74d54d1080b9,103,501,2026-08-25,2026-08-25,10782.82,10782.82,10782.82,,,2026-09-12 23:05:03
1b6a8f05d3684dd88eb1,103,501,2026-08-26,2026-08-26,508.54,508.54,508.54,,,2026-09-12 23:05:03
8386d611058c407397c0,107,501,2026-08-27,2026-08-27,1993.25,1993.25,1993.25,,,2026-09-12 23:05:03
85b406679d734f2786c4,120,501,2026-08-28,2026-08-28,1175.17,1175.17,1175.17,,,2026-09-12 23:05:03
517d7290f85d40208baf,101,501,2026-08-29,2026-08-29,541.77,541.77,541.77,,,2026-09-12 23:05:03
347b2bf2ca894f8da347,120,501,2026-08-30,2026-08-30,658.03,658.03,658.03,,,2026-09-12 23:05:03
78b560739d8d4edfbd14,117,501,2026-08-31,2026-08-31,1553.9,1553.9,1553.9,,,2026-09-12 23:05:03
25ee87ea318840be9a39,109,501,2026-09-01,2026-09-01,1920.69,1920.69,1920.69,,,2026-09-12 23:05:03
0824f5ae6c5a4f2a80db,108,501,2026-09-02,2026-09-02,467.62,467.62,467.62,,,2026-09-12 23:05:03
ff01bd54e39147ff90b4,112,501,2026-09-03,2026-09-03,607.04,607.04,607.04,,,2026-09-12 23:05:03
96eee8fca00a4cc2b65a,108,501,2026-09-04,2026-09-04,797.79,797.79,797.79,,,2026-09-12 23:05:03
69683d1e7e4c44a3abfa,117,501,2026-09-05,2026-09-05,3854.89,3854.89,3854.89,,,2026-09-12 23:05:03
90aea61f38864ea09c93,115,501,2026-09-06,2026-09-06,4065.98,4065.98,4065.98,,,2026-09-12 23:05:03
4884b1f7808e4288b165,105,501,2026-09-07,2026-09-07,2380.62,2380.62,2380.62,,,2026-09-12 23:05:03
1124c8dd6e7e4c229988,110,501,2026-09-08,2026-09-08,5635.88,5635.88,5635.88,,,2026-09-12 23:05:03
137a4a9ed6314fcd8c93,117,501,2026-09-09,2026-09-09,1954.12,1954.12,1954.12,,,2026-09-12 23:05:03
cf61d0d8bc094267bb6d,109,501,2026-08-11,2026-08-11,2239.92,2239.92,2239.92,,,2026-09-12 23:05:03
d174b96d8a8b4ab08560,105,501,2026-08-12,2026-08-12,4329.1,4329.1,4329.1,,,2026-09-12 23:05:03
3014e6249614451ebb37,114,501,2026-08-13,2026-08-13,4027.31,4027.31,4027.31,,,2026-09-12 23:05:03
9dcdc82081674c12831e,102,501,2026-08-14,2026-08-14,427.86,427.86,427.86,,,2026-09-12 23:05:03
5b4553e6d0f14fbcb3ca,109,501,2026-08-15,2026-08-15,3887.18,3887.18,3887.18,,,2026-09-12 23:05:03
199b0ebb2b564923bcd8,113,501,2026-08-16,2026-08-16,2587.96,2587.96,2587.96,,,2026-09-12 23:05:03
d27e416ca9184ec78357,113,501,2026-08-17,2026-08-17,2121.94,2121.94,2121.94,,,2026-09-12 23:05:03
a576dfea5fa64754b174,110,501,2026-08-18,2026-08-18,1729.18,1729.18,1729.18,,,2026-09-12 23:05:03
f90f88b61433425b84b2,112,501,2026-08-19,2026-08-19,1318.82,1318.82,1318.82,,,2026-09-12 23:05:03
7cbfeabd4de44ea98b9c,107,501,2026-08-20,2026-08-20,60.03,60.03,60.03,,,2026-09-12 23:05:03
7aa983ac44f84543808f,107,501,2026-08-21,2026-08-21,2709.97,2709.97,2709.97,,,2026-09-12 23:05:03
1724307694fc48fa9a53,115,501,2026-08-22,2026-08-22,628.79,628.79,628.79,,,2026-09-12 23:05:03
79f5e0c94404407787b2,102,501,2026-08-23,2026-08-23,1067.93,1067.93,1067.93,,,2026-09-12 23:05:03
6420d8f2d9c7403baf67,117,501,2026-08-24,2026-08-24,384.49,384.49,384.49,,,2026-09-12 23:05:03
f34a06b8157548c496c9,105,501,2026-08-25,2026-08-25,9694.79,9694.79,9694.79,,,2026-09-12 23:05:03
7a1709b1a2644b759bb2,115,501,2026-08-26,2026-08-26,5563.56,5563.56,5563.56,,,2026-09-12 23:05:03
a07dccb0c67b4f6aae91,114,501,2026-08-27,2026-08-27,4094.7,4094.7,4094.7,,,2026-09-12 23:05:03
bbfda3f4688549e782de,108,501,2026-08-28,2026-08-28,2039.86,2039.86,2039.86,,,2026-09-12 23:05:03
5296df3e5bc44e4fb095,109,501,2026-08-29,2026-08-29,2796.03,2796.03,2796.03,,,2026-09-12 23:05:03
c953ac8808a1480c8e57,119,501,2026-08-30,2026-08-30,7341.5,7341.5,7341.5,,,2026-09-12 23:05:03
7a6365eae35b4073ac68,102,501,2026-08-31,2026-08-31,8144.64,8144.64,8144.64,,,2026-09-12 23:05:03
5153a3d2bc6e4b3bb844,119,501,2026-09-01,2026-09-01,663.84,663.84,663.84,,,2026-09-12 23:05:03
b6e77b9393f24c549407,103,501,2026-09-02,2026-09-02,5052.77,5052.77,5052.77,,,2026-09-12 23:05:03
9f9afd1bb49d4e1fb8cc,112,501,2026-09-03,2026-09-03,2633.05,2633.05,2633.05,,,2026-09-12 23:05:03
25dc65aa2b334286ba86,117,501,2026-09-04,2026-09-04,2682.33,2682.33,2682.33,,,2026-09-12 23:05:03
b5e23baaf9e542ceb4d3,101,501,2026-09-05,2026-09-05,130.61,130.61,130.61,,,2026-09-12 23:05:03
3a6595d01c9a46318b27,107,501,2026-09-06,2026-09-06,5758.88,5758.88,5758.88,,,2026-09-12 23:05:03
cd87e624393240d5949f,102,501,2026-09-07,2026-09-07,10054.58,10054.58,10054.58,,,2026-09-12 23:05:03
3af3101eb7e341dcb904,120,501,2026-09-08,2026-09-08,944.4,944.4,944.4,,,2026-09-12 23:05:03
7f7c312857f442ffbc9d,103,501,2026-09-09,2026-09-09,586.25,586.25,586.25,,,2026-09-12 23:05:03
697eeee63ed14aa5a1be,114,501,2026-08-11,2026-08-11,6203.66,6203.66,6203.66,,,2026-09-12 23:05:03
dd8ef6630244443091f7,105,501,2026-08-12,2026-08-12,3078.22,3078.22,3078.22,,,2026-09-12 23:05:03
9c5f9f5a87af4e838765,107,501,2026-08-13,2026-08-13,2883.5,2883.5,2883.5,,,2026-09-12 23:05:03
1b97755e2ea34df1baa6,103,501,2026-08-14,2026-08-14,3082.66,3082.66,3082.66,,,2026-09-12 23:05:03
12b9311324b64b05b3a6,104,501,2026-08-15,2026-08-15,2835.09,2835.09,2835.09,,,2026-09-12 23:05:03
515fd3b25ef142bab750,112,501,2026-08-16,2026-08-16,632.39,632.39,632.39,,,2026-09-12 23:05:03
26faf233e5f44857a9fc,120,501,2026-08-17,2026-08-17,236.82,236.82,236.82,,,2026-09-12 23:05:03
1946388897444ee4acdf,107,501,2026-08-18,2026-08-18,522.38,522.38,522.38,,,2026-09-12 23:05:03
c9ee06b69b9049e88c90,107,501,2026-08-19,2026-08-19,1316.43,1316.43,1316.43,,,2026-09-12 23:05:03
785593ecd8854f86afe2,107,501,2026-08-20,2026-08-20,8027.82,8027.82,8027.82,,,2026-09-12 23:05:03
62f89e1f01c24a8bb027,110,501,2026-08-21,2026-08-21,1404.28,1404.28,1404.28,,,2026-09-12 23:05:03
114505f78ac643068b47,113,501,2026-08-22,2026-08-22,2521.32,2521.32,2521.32,,,2026-09-12 23:05:03
e50c990824a146b4859d,118,501,2026-08-23,2026-08-23,5163.75,5163.75,5163.75,,,2026-09-12 23:05:03
50c9cc160e614f2ea0f7,103,501,2026-08-24,2026-08-24,3317.1,3317.1,3317.1,,,2026-09-12 23:05:03
d9a2407992e14e0c8e7e,101,501,2026-08-25,2026-08-25,1183.41,1183.41,1183.41,,,2026-09-12 23:05:03
c87a238d93124a17a254,104,501,2026-08-26,2026-08-26,5409.5,5409.5,5409.5,,,2026-09-12 23:05:03
4bf9e8fdc5224c44b51e,113,501,2026-08-27,2026-08-27,2918.61,2918.61,2918.61,,,2026-09-12 23:05:03
979f82f42593457b822c,111,501,2026-08-28,2026-08-28,1593.5,1593.5,1593.5,,,2026-09-12 23:05:03
fecaec76b31c4c48bd30,117,501,2026-08-29,2026-08-29,1351.31,1351.31,1351.31,,,2026-09-12 23:05:03
9c486930c9cf42e3b3a4,107,501,2026-08-30,2026-08-30,688.46,688.46,688.46,,,2026-09-12 23:05:03
05829e322f924a78996c,106,501,2026-08-31,2026-08-31,117.99,117.99,117.99,,,2026-09-12 23:05:03
b8cecb4484cf4dfb8bd2,120,501,2026-09-01,2026-09-01,5923.7,5923.7,5923.7,,,2026-09-12 23:05:03
750dc418ccac45a6ab6e,110,501,2026-09-02,2026-09-02,1870.75,1870.75,1870.75,,,2026-09-12 23:05:03
0286f1e05a1546918f9b,105,501,2026-09-03,2026-09-03,2664.45,2664.45,2664.45,,,2026-09-12 23:05:03
53f283565de9420493fc,101,501,2026-09-04,2026-09-04,4011.94,4011.94,4011.94,,,2026-09-12 23:05:03
37b416b6b8f4436da912,110,501,2026-09-05,2026-09-05,4595.78,4595.78,4595.78,,,2026-09-12 23:05:03
7cec2fba53df4a62b126,120,501,2026-09-06,2026-09-06,1010.13,1010.13,1010.13,,,2026-09-12 23:05:03
4cc32685e7744e11b353,120,501,2026-09-07,2026-09-07,6206.72,6206.72,6206.72,,,2026-09-12 23:05:03
8f8430c759e84c51b556,111,501,2026-09-08,2026-09-08,214.6,214.6,214.6,,,2026-09-12 23:05:03
46e6e42b798e4d3eb503,108,501,2026-09-09,2026-09-09,804.3,804.3,804.3,,,2026-09-12 23:05:03
7ff05c5b713e4adead6d,104,501,2026-08-11,2026-08-11,8595.01,8595.01,8595.01,,,2026-09-12 23:05:03
1f7e096ad7604f44b9ee,117,501,2026-08-12,2026-08-12,5449.99,5449.99,5449.99,,,2026-09-12 23:05:03
be9e93747a8047dabd82,116,501,2026-08-13,2026-08-13,7037.75,7037.75,7037.75,,,2026-09-12 23:05:03
2690635626a74811900d,110,501,2026-08-14,2026-08-14,1734.83,1734.83,1734.83,,,2026-09-12 23:05:03
3ba1884fda284dd5a1f1,110,501,2026-08-15,2026-08-15,3286.28,3286.28,3286.28,,,2026-09-12 23:05:03
706a3c2ddb2943c7b627,116,501,2026-08-16,2026-08-16,392.79,392.79,392.79,,,2026-09-12 23:05:03
056ebdc2ede54daf8233,102,501,2026-08-17,2026-08-17,2292.28,2292.28,2292.28,,,2026-09-12 23:05:03
1ef59064c13d4ddd943c,102,501,2026-08-18,2026-08-18,9972.05,9972.05,9972.05,,,2026-09-12 23:05:03
293c51f6edcc4fc69d32,104,501,2026-08-19,2026-08-19,657.33,657.33,657.33,,,2026-09-12 23:05:03
8c11b9e025e945358eda,118,501,2026-08-20,2026-08-20,551.67,551.67,551.67,,,2026-09-12 23:05:03
497416f68c1645c7a43a,113,501,2026-08-21,2026-08-21,71.5,71.5,71.5,,,2026-09-12 23:05:03
c47c640db0c14e8c9d90,103,501,2026-08-22,2026-08-22,2683.65,2683.65,2683.65,,,2026-09-12 23:05:03
59c3e8fb08184697b19f,103,501,2026-08-23,2026-08-23,947.88,947.88,947.88,,,2026-09-12 23:05:03
347f94e1e5a944eb8d4b,107,501,2026-08-24,2026-08-24,929.28,929.28,929.28,,,2026-09-12 23:05:03
822bb5fbb26445e297d3,110,501,2026-08-25,2026-08-25,9136.09,9136.09,9136.09,,,2026-09-12 23:05:03
d0507b07c7444c5880bd,115,501,2026-08-26,2026-08-26,2963.65,2963.65,2963.65,,,2026-09-12 23:05:03
bdca189b9a824e7488cb,119,501,2026-08-27,2026-08-27,556.27,556.27,556.27,,,2026-09-12 23:05:03
1e709bf3d83c45b381fe,115,501,2026-08-28,2026-08-28,1307.12,1307.12,1307.12,,,2026-09-12 23:05:03
551b2d313e9f4d04ab05,117,501,2026-08-29,2026-08-29,675.8,675.8,675.8,,,2026-09-12 23:05:03
8fe5844250da45c09470,109,501,2026-08-30,2026-08-30,344.07,344.07,344.07,,,2026-09-12 23:05:03
09b9c1db1d6046ffa50c,103,501,2026-08-31,2026-08-31,1093.06,1093.06,1093.06,,,2026-09-12 23:05:03
c1b9ac8dd4a548a9b81a,117,501,2026-09-01,2026-09-01,137.12,137.12,137.12,,,2026-09-12 23:05:03
a6d4510b660d4a58bf2b,101,501,2026-09-02,2026-09-02,1655.9,1655.9,1655.9,,,2026-09-12 23:05:03
cc30a1b7da3641dfbf14,112,501,2026-09-03,2026-09-03,2384.76,2384.76,2384.76,,,2026-09-12 23:05:03
8a27859fd8f14498a380,111,501,2026-09-04,2026-09-04,425.46,425.46,425.46,,,2026-09-12 23:05:03
bd44b6f224264b65a9c6,115,501,2026-09-05,2026-09-05,4213.15,4213.15,4213.15,,,2026-09-12 23:05:03
597f46d4249943a5add3,106,501,2026-09-06,2026-09-06,3064.28,3064.28,3064.28,,,2026-09-12 23:05:03
0f1324e4f5ef48009744,102,501,2026-09-07,2026-09-07,664.63,664.63,664.63,,,2026-09-12 23:05:03
e53528044faa4115870f,117,501,2026-09-08,2026-09-08,4063.71,4063.71,4063.71,,,2026-09-12 23:05:03
a90086da69fd4dcda36a,117,501,2026-09-09,2026-09-09,111.12,111.12,111.12,,,2026-09-12 23:05:03
e31d9079207148e7b3bd,120,501,2026-08-11,2026-08-11,495.18,495.18,495.18,,,2026-09-12 23:05:03
635434c5dbec40ab8ba4,103,501,2026-08-12,2026-08-12,1903.02,1903.02,1903.02,,,2026-09-12 23:05:03
f60c9f80cf6f44299022,115,501,2026-08-13,2026-08-13,711.47,711.47,711.47,,,2026-09-12 23:05:03
24972df1e7cd4147809a,119,501,2026-08-14,2026-08-14,129.33,129.33,129.33,,,2026-09-12 23:05:03
0d6a226904bb4518828f,115,501,2026-08-15,2026-08-15,5249.39,5249.39,5249.39,,,2026-09-12 23:05:03
f9f611d3952349608ca8,104,501,2026-08-16,2026-08-16,3574.33,3574.33,3574.33,,,2026-09-12 23:05:03
06284e6f9dae41138441,105,501,2026-08-17,2026-08-17,828.16,828.16,828.16,,,2026-09-12 23:05:03
e661c3174e83440b95c3,110,501,2026-08-18,2026-08-18,1115.69,1115.69,1115.69,,,2026-09-12 23:05:03
ca66f13792874d549aae,112,501,2026-08-19,2026-08-19,3213.62,3213.62,3213.62,,,2026-09-12 23:05:03
ebd4c1e4f9a34e2b832a,116,501,2026-08-20,2026-08-20,1168.03,1168.03,1168.03,,,2026-09-12 23:05:03
9b63f75c2dcb454d800c,105,501,2026-08-21,2026-08-21,1616.78,1616.78,1616.78,,,2026-09-12 23:05:03
7c9483d30f574ff5aa0e,119,501,2026-08-22,2026-08-22,732.67,732.67,732.67,,,2026-09-12 23:05:03
11cd4d8d59d048b8a04d,106,501,2026-08-23,2026-08-23,6723.56,6723.56,6723.56,,,2026-09-12 23:05:03
