purchase_order_id,item_vendor,department,item_nbr,warehouse_nbr,receipt_date,receiving_seq_nbr,order_qty,received_qty,update_timestamp
100102006,501,18,100102,107,2026-08-16,6,82,82,2026-09-12 23:05:03
100102007,501,29,100102,105,2026-08-17,7,32,32,2026-09-12 23:05:03
100102008,501,29,100102,107,2026-08-18,8,77,77,2026-09-12 23:05:03
100102009,501,16,100102,103,2026-08-19,9,4,4,2026-09-12 23:05:03
100102010,501,20,100102,109,2026-08-20,10,37,37,2026-09-12 23:05:03
100102011,501,12,100102,104,2026-08-21,11,16,16,2026-09-12 23:05:03
100102012,501,27,100102,116,2026-08-22,12,100,100,2026-09-12 23:05:03
100102013,501,26,100102,101,2026-08-23,13,23,23,2026-09-12 23:05:03
100102014,501,12,100102,120,2026-08-24,14,52,52,2026-09-12 23:05:03
100102015,501,18,100102,105,2026-08-25,15,71,71,2026-09-12 23:05:03
100102016,501,21,100102,108,2026-08-26,16,48,48,2026-09-12 23:05:03
100102017,501,21,100102,105,2026-08-27,17,59,59,2026-09-12 23:05:03
100102018,501,14,100102,116,2026-08-28,18,55,55,2026-09-12 23:05:03
100102019,501,22,100102,118,2026-08-29,19,44,44,2026-09-12 23:05:03
100102020,501,25,100102,114,2026-08-30,20,5,5,2026-09-12 23:05:03
100102021,501,26,100102,102,2026-08-31,21,21,21,2026-09-12 23:05:03
100102022,501,24,100102,112,2026-09-01,22,84,84,2026-09-12 23:05:03
100102023,501,24,100102,113,2026-09-02,23,36,36,2026-09-12 23:05:03
100102024,501,25,100102,106,2026-09-03,24,9,9,2026-09-12 23:05:03
100102025,501,12,100102,104,2026-09-04,25,35,35,2026-09-12 23:05:03
100102026,501,27,100102,104,2026-09-05,26,41,41,2026-09-12 23:05:03
100102027,501,22,100102,109,2026-09-06,27,32,32,2026-09-12 23:05:03
100102028,501,17,100102,115,2026-09-07,28,15,15,2026-09-12 23:05:03
100102029,501,11,100102,109,2026-09-08,29,1,1,2026-09-12 23:05:03
100102030,501,18,100102,104,2026-09-09,30,31,31,2026-09-12 23:05:03
100103001,501,13,100103,120,2026-08-11,1,28,28,2026-09-12 23:05:03
100103002,501,11,100103,109,2026-08-12,2,42,42,2026-09-12 23:05:03
100103003,501,19,100103,113,2026-08-13,3,56,56,2026-09-12 23:05:03
100103004,501,15,100103,110,2026-08-14,4,62,62,2026-09-12 23:05:03
100103005,501,14,100103,120,2026-08-15,5,69,69,2026-09-12 23:05:03
100103006,501,20,100103,103,2026-08-16,6,77,77,2026-09-12 23:05:03
100103007,501,18,100103,105,2026-08-17,7,71,71,2026-09-12 23:05:03
100103008,501,18,100103,118,2026-08-18,8,2,2,2026-09-12 23:05:03
100103009,501,29,100103,110,2026-08-19,9,12,12,2026-09-12 23:05:03
100103010,501,10,100103,118,2026-08-20,10,31,31,2026-09-12 23:05:03
100103011,501,22,100103,112,2026-08-21,11,49,49,2026-09-12 23:05:03
100103012,501,18,100103,105,2026-08-22,12,66,66,2026-09-12 23:05:03
100103013,501,18,100103,102,2026-08-23,13,87,87,2026-09-12 23:05:03
100103014,501,12,100103,110,2026-08-24,14,17,17,2026-09-12 23:05:03
100103015,501,20,100103,103,2026-08-25,15,86,86,2026-09-12 23:05:03
100103016,501,10,100103,102,2026-08-26,16,49,49,2026-09-12 23:05:03
100103017,501,15,100103,108,2026-08-27,17,64,64,2026-09-12 23:05:03
100103018,501,12,100103,103,2026-08-28,18,46,46,2026-09-12 23:05:03
100103019,501,22,100103,108,2026-08-29,19,28,28,2026-09-12 23:05:03
100103020,501,19,100103,114,2026-08-30,20,28,28,2026-09-12 23:05:03
100103021,501,19,100103,106,2026-08-31,21,5,5,2026-09-12 23:05:03
100103022,501,23,100103,120,2026-09-01,22,54,54,2026-09-12 23:05:03
100103023,501,10,100103,105,2026-09-02,23,12,12,2026-09-12 23:05:03
100103024,501,11,100103,113,2026-09-03,24,61,61,2026-09-12 23:05:03
100103025,501,29,100103,113,2026-09-04,25,36,36,2026-09-12 23:05:03
100103026,501,13,100103,112,2026-09-05,26,96,96,2026-09-12 23:05:03
100103027,501,28,100103,108,2026-09-06,27,34,34,2026-09-12 23:05:03
100103028,501,29,100103,120,2026-09-07,28,53,53,2026-09-12 23:05:03
100103029,501,15,100103,115,2026-09-08,29,43,43,2026-09-12 23:05:03
100103030,501,24,100103,112,2026-09-09,30,78,78,2026-09-12 23:05:03
100104001,501,22,100104,110,2026-08-11,1,3,3,2026-09-12 23:05:03
100104002,501,14,100104,116,2026-08-12,2,86,86,2026-09-12 23:05:03
100104003,501,19,100104,116,2026-08-13,3,46,46,2026-09-12 23:05:03
100104004,501,23,100104,118,2026-08-14,4,65,65,2026-09-12 23:05:03
100104005,501,20,100104,102,2026-08-15,5,6,6,2026-09-12 23:05:03
100104006,501,29,100104,120,2026-08-16,6,33,33,2026-09-12 23:05:03
100104007,501,26,100104,109,2026-08-17,7,11,11,2026-09-12 23:05:03
100104008,501,21,100104,109,2026-08-18,8,18,18,2026-09-12 23:05:03
100104009,501,11,100104,118,2026-08-19,9,76,76,2026-09-12 23:05:03
100104010,501,20,100104,108,2026-08-20,10,74,74,2026-09-12 23:05:03
100104011,501,13,100104,110,2026-08-21,11,90,90,2026-09-12 23:05:03
100104012,501,23,100104,120,2026-08-22,12,65,65,2026-09-12 23:05:03
100104013,501,23,100104,102,2026-08-23,13,85,85,2026-09-12 23:05:03
100104014,501,23,100104,115,2026-08-24,14,21,21,2026-09-12 23:05:03
100104015,501,13,100104,103,2026-08-25,15,94,94,2026-09-12 23:05:03
100104016,501,21,100104,103,2026-08-26,16,9,9,2026-09-12 23:05:03
100104017,501,22,100104,107,2026-08-27,17,46,46,2026-09-12 23:05:03
100104018,501,10,100104,120,2026-08-28,18,54,54,2026-09-12 23:05:03
100104019,501,27,100104,101,2026-08-29,19,18,18,2026-09-12 23:05:03
100104020,501,16,100104,120,2026-08-30,20,12,12,2026-09-12 23:05:03
100104021,501,28,100104,117,2026-08-31,21,59,59,2026-09-12 23:05:03
100104022,501,24,100104,109,2026-09-01,22,68,68,2026-09-12 23:05:03
100104023,501,22,100104,108,2026-09-02,23,40,40,2026-09-12 23:05:03
100104024,501,29,100104,112,2026-09-03,24,67,67,2026-09-12 23:05:03
100104025,501,27,100104,108,2026-09-04,25,38,38,2026-09-12 23:05:03
100104026,501,15,100104,117,2026-09-05,26,57,57,2026-09-12 23:05:03
100104027,501,21,100104,115,2026-09-06,27,91,91,2026-09-12 23:05:03
100104028,501,15,100104,105,2026-09-07,28,29,29,2026-09-12 23:05:03
100104029,501,11,100104,110,2026-09-08,29,79,79,2026-09-12 23:05:03
100104030,501,28,100104,117,2026-09-09,30,92,92,2026-09-12 23:05:03
100105001,501,19,100105,109,2026-08-11,1,20,20,2026-09-12 23:05:03
100105002,501,15,100105,105,2026-08-12,2,67,67,2026-09-12 23:05:03
100105003,501,12,100105,114,2026-08-13,3,41,41,2026-09-12 23:05:03
100105004,501,12,100105,102,2026-08-14,4,19,19,2026-09-12 23:05:03
100105005,501,11,100105,109,2026-08-15,5,67,67,2026-09-12 23:05:03
100105006,501,26,100105,113,2026-08-16,6,37,37,2026-09-12 23:05:03
100105007,501,24,100105,113,2026-08-17,7,35,35,2026-09-12 23:05:03
100105008,501,11,100105,110,2026-08-18,8,16,16,2026-09-12 23:05:03
100105009,501,22,100105,112,2026-08-19,9,48,48,2026-09-12 23:05:03
100105010,501,11,100105,107,2026-08-20,10,34,34,2026-09-12 23:05:03
100105011,501,18,100105,107,2026-08-21,11,95,95,2026-09-12 23:05:03
100105012,501,15,100105,115,2026-08-22,12,56,56,2026-09-12 23:05:03
100105013,501,14,100105,102,2026-08-23,13,42,42,2026-09-12 23:05:03
100105014,501,23,100105,117,2026-08-24,14,79,79,2026-09-12 23:05:03
100105015,501,10,100105,105,2026-08-25,15,88,88,2026-09-12 23:05:03
100105016,501,14,100105,115,2026-08-26,16,72,72,2026-09-12 23:05:03
100105017,501,24,100105,114,2026-08-27,17,56,56,2026-09-12 23:05:03
100105018,501,20,100105,108,2026-08-28,18,48,48,2026-09-12 23:05:03
100105019,501,21,100105,109,2026-08-29,19,62,62,2026-09-12 23:05:03
100105020,501,25,100105,119,2026-08-30,20,66,66,2026-09-12 23:05:03
100105021,501,22,100105,102,2026-08-31,21,96,96,2026-09-12 23:05:03
100105022,501,23,100105,119,2026-09-01,22,10,10,2026-09-12 23:05:03
100105023,501,20,100105,103,2026-09-02,23,47,47,2026-09-12 23:05:03
100105024,501,17,100105,112,2026-09-03,24,57,57,2026-09-12 23:05:03
100105025,501,20,100105,117,2026-09-04,25,49,49,2026-09-12 23:05:03
100105026,501,26,100105,101,2026-09-05,26,26,26,2026-09-12 23:05:03
100105027,501,25,100105,107,2026-09-06,27,72,72,2026-09-12 23:05:03
100105028,501,11,100105,102,2026-09-07,28,89,89,2026-09-12 23:05:03
100105029,501,25,100105,120,2026-09-08,29,28,28,2026-09-12 23:05:03
100105030,501,11,100105,103,2026-09-09,30,20,20,2026-09-12 23:05:03
100106001,501,19,100106,114,2026-08-11,1,72,72,2026-09-12 23:05:03
100106002,501,15,100106,105,2026-08-12,2,53,53,2026-09-12 23:05:03
100106003,501,17,100106,107,2026-08-13,3,36,36,2026-09-12 23:05:03
100106004,501,13,100106,103,2026-08-14,4,52,52,2026-09-12 23:05:03
100106005,501,27,100106,104,2026-08-15,5,49,49,2026-09-12 23:05:03
100106006,501,16,100106,112,2026-08-16,6,14,14,2026-09-12 23:05:03
100106007,501,21,100106,120,2026-08-17,7,16,16,2026-09-12 23:05:03
100106008,501,27,100106,107,2026-08-18,8,42,42,2026-09-12 23:05:03
100106009,501,22,100106,107,2026-08-19,9,32,32,2026-09-12 23:05:03
100106010,501,20,100106,107,2026-08-20,10,77,77,2026-09-12 23:05:03
100106011,501,14,100106,110,2026-08-21,11,20,20,2026-09-12 23:05:03
100106012,501,10,100106,113,2026-08-22,12,42,42,2026-09-12 23:05:03
100106013,501,20,100106,118,2026-08-23,13,57,57,2026-09-12 23:05:03
100106014,501,24,100106,103,2026-08-24,14,39,39,2026-09-12 23:05:03
100106015,501,28,100106,101,2026-08-25,15,32,32,2026-09-12 23:05:03
100106016,501,22,100106,104,2026-08-26,16,70,70,2026-09-12 23:05:03
100106017,501,10,100106,113,2026-08-27,17,65,65,2026-09-12 23:05:03
100106018,501,27,100106,111,2026-08-28,18,92,92,2026-09-12 23:05:03
100106019,501,23,100106,117,2026-08-29,19,13,13,2026-09-12 23:05:03
100106020,501,15,100106,107,2026-08-30,20,28,28,2026-09-12 23:05:03
100106021,501,15,100106,106,2026-08-31,21,84,84,2026-09-12 23:05:03
100106022,501,21,100106,120,2026-09-01,22,66,66,2026-09-12 23:05:03
100106023,501,17,100106,110,2026-09-02,23,17,17,2026-09-12 23:05:03
100106024,501,24,100106,105,2026-09-03,24,48,48,2026-09-12 23:05:03
100106025,501,22,100106,101,2026-09-04,25,67,67,2026-09-12 23:05:03
100106026,501,22,100106,110,2026-09-05,26,45,45,2026-09-12 23:05:03
100106027,501,25,100106,120,2026-09-06,27,18,18,2026-09-12 23:05:03
100106028,501,15,100106,120,2026-09-07,28,79,79,2026-09-12 23:05:03
100106029,501,24,100106,111,2026-09-08,29,16,16,2026-09-12 23:05:03
100106030,501,18,100106,108,2026-09-09,30,9,9,2026-09-12 23:05:03
100107001,501,17,100107,104,2026-08-11,1,84,84,2026-09-12 23:05:03
100107002,501,16,100107,117,2026-08-12,2,86,86,2026-09-12 23:05:03
100107003,501,22,100107,116,2026-08-13,3,68,68,2026-09-12 23:05:03
100107004,501,10,100107,110,2026-08-14,4,50,50,2026-09-12 23:05:03
100107005,501,13,100107,110,2026-08-15,5,48,48,2026-09-12 23:05:03
100107006,501,29,100107,116,2026-08-16,6,22,22,2026-09-12 23:05:03
100107007,501,19,100107,102,2026-08-17,7,58,58,2026-09-12 23:05:03
100107008,501,29,100107,102,2026-08-18,8,87,87,2026-09-12 23:05:03
100107009,501,18,100107,104,2026-08-19,9,32,32,2026-09-12 23:05:03
100107010,501,10,100107,118,2026-08-20,10,7,7,2026-09-12 23:05:03
100107011,501,29,100107,113,2026-08-21,11,1,1,2026-09-12 23:05:03
100107012,501,22,100107,103,2026-08-22,12,83,83,2026-09-12 23:05:03
100107013,501,24,100107,103,2026-08-23,13,17,17,2026-09-12 23:05:03
100107014,501,22,100107,107,2026-08-24,14,59,59,2026-09-12 23:05:03
100107015,501,23,100107,110,2026-08-25,15,81,81,2026-09-12 23:05:03
100107016,501,24,100107,115,2026-08-26,16,31,31,2026-09-12 23:05:03
100107017,501,23,100107,119,2026-08-27,17,23,23,2026-09-12 23:05:03
100107018,501,22,100107,115,2026-08-28,18,92,92,2026-09-12 23:05:03
100107019,501,16,100107,117,2026-08-29,19,26,26,2026-09-12 23:05:03
100107020,501,23,100107,109,2026-08-30,20,5,5,2026-09-12 23:05:03
100107021,501,13,100107,103,2026-08-31,21,74,74,2026-09-12 23:05:03
100107022,501,15,100107,117,2026-09-01,22,74,74,2026-09-12 23:05:03
100107023,501,19,100107,101,2026-09-02,23,19,19,2026-09-12 23:05:03
100107024,501,28,100107,112,2026-09-03,24,72,72,2026-09-12 23:05:03
100107025,501,21,100107,111,2026-09-04,25,34,34,2026-09-12 23:05:03
100107026,501,21,100107,115,2026-09-05,26,89,89,2026-09-12 23:05:03
100107027,501,23,100107,106,2026-09-06,27,97,97,2026-09-12 23:05:03
100107028,501,11,100107,102,2026-09-07,28,13,13,2026-09-12 23:05:03
100107029,501,28,100107,117,2026-09-08,29,40,40,2026-09-12 23:05:03
100107030,501,20,100107,117,2026-09-09,30,22,22,2026-09-12 23:05:03
100108001,501,21,100108,120,2026-08-11,1,31,31,2026-09-12 23:05:03
100108002,501,28,100108,103,2026-08-12,2,26,26,2026-09-12 23:05:03
100108003,501,28,100108,115,2026-08-13,3,51,51,2026-09-12 23:05:03
100108004,501,23,100108,119,2026-08-14,4,2,2,2026-09-12 23:05:03
100108005,501,25,100108,115,2026-08-15,5,99,99,2026-09-12 23:05:03
100108006,501,11,100108,104,2026-08-16,6,38,38,2026-09-12 23:05:03
100108007,501,15,100108,105,2026-08-17,7,11,11,2026-09-12 23:05:03
100108008,501,17,100108,110,2026-08-18,8,15,15,2026-09-12 23:05:03
100108009,501,11,100108,112,2026-08-19,9,89,89,2026-09-12 23:05:03
100108010,501,20,100108,116,2026-08-20,10,51,51,2026-09-12 23:05:03
100108011,501,12,100108,105,2026-08-21,11,44,44,2026-09-12 23:05:03
100108012,501,16,100108,119,2026-08-22,12,7,7,2026-09-12 23:05:03
100108013,501,29,100108,106,2026-08-23,13,99,99,2026-09-12 23:05:03
100108014,501,17,100108,106,2026-08-24,14,66,66,2026-09-12 23:05:03
100108015,501,10,100108,101,2026-08-25,15,12,12,2026-09-12 23:05:03
100108016,501,27,100108,103,2026-08-26,16,100,100,2026-09-12 23:05:03
100108017,501,22,100108,118,2026-08-27,17,77,77,2026-09-12 23:05:03
100108018,501,19,100108,110,2026-08-28,18,58,58,2026-09-12 23:05:03
100108019,501,10,100108,114,2026-08-29,19,61,61,2026-09-12 23:05:03
100108020,501,17,100108,110,2026-08-30,20,11,11,2026-09-12 23:05:03
100108021,501,26,100108,109,2026-08-31,21,45,45,2026-09-12 23:05:03
100108022,501,27,100108,108,2026-09-01,22,39,39,2026-09-12 23:05:03
100108023,501,23,100108,109,2026-09-02,23,21,21,2026-09-12 23:05:03
100108024,501,15,100108,106,2026-09-03,24,26,26,2026-09-12 23:05:03
100108025,501,12,100108,115,2026-09-04,25,48,48,2026-09-12 23:05:03
100108026,501,19,100108,120,2026-09-05,26,75,75,2026-09-12 23:05:03
100108027,501,25,100108,111,2026-09-06,27,81,81,2026-09-12 23:05:03
100108028,501,12,100108,108,2026-09-07,28,9,9,2026-09-12 23:05:03
100108029,501,23,100108,118,2026-09-08,29,28,28,2026-09-12 23:05:03
100108030,501,27,100108,103,2026-09-09,30,28,28,2026-09-12 23:05:03
100109001,501,19,100109,105,2026-08-11,1,12,12,2026-09-12 23:05:03
100109002,501,28,100109,120,2026-08-12,2,91,91,2026-09-12 23:05:03
100109003,501,22,100109,110,2026-08-13,3,37,37,2026-09-12 23:05:03
100109004,501,18,100109,116,2026-08-14,4,58,58,2026-09-12 23:05:03
100109005,501,28,100109,104,2026-08-15,5,26,26,2026-09-12 23:05:03
100109006,501,13,100109,110,2026-08-16,6,84,84,2026-09-12 23:05:03
100109007,501,14,100109,112,2026-08-17,7,51,51,2026-09-12 23:05:03
100109008,501,27,100109,119,2026-08-18,8,19,19,2026-09-12 23:05:03
100109009,501,19,100109,120,2026-08-19,9,8,8,2026-09-12 23:05:03
100109010,501,20,100109,117,2026-08-20,10,41,41,2026-09-12 23:05:03
100109011,501,29,100109,110,2026-08-21,11,33,33,2026-09-12 23:05:03
100109012,501,29,100109,118,2026-08-22,12,91,91,2026-09-12 23:05:03
100109013,501,12,100109,120,2026-08-23,13,10,10,2026-09-12 23:05:03
100109014,501,14,100109,113,2026-08-24,14,16,16,2026-09-12 23:05:03
100109015,501,11,100109,109,2026-08-25,15,46,46,2026-09-12 23:05:03
100109016,501,14,100109,116,2026-08-26,16,96,96,2026-09-12 23:05:03
100109017,501,25,100109,118,2026-08-27,17,17,17,2026-09-12 23:05:03
100109018,501,28,100109,101,2026-08-28,18,55,55,2026-09-12 23:05:03
100109019,501,23,100109,105,2026-08-29,19,93,93,2026-09-12 23:05:03
100109020,501,29,100109,109,2026-08-30,20,92,92,2026-09-12 23:05:03
100109021,501,28,100109,111,2026-08-31,21,5,5,2026-09-12 23:05:03
100109022,501,21,100109,119,2026-09-01,22,11,11,2026-09-12 23:05:03
100109023,501,11,100109,112,2026-09-02,23,53,53,2026-09-12 23:05:03
100109024,501,28,100109,105,2026-09-03,24,64,64,2026-09-12 23:05:03
100109025,501,26,100109,103,2026-09-04,25,55,55,2026-09-12 23:05:03
100109026,501,15,100109,111,2026-09-05,26,97,97,2026-09-12 23:05:03
100109027,501,27,100109,119,2026-09-06,27,55,55,2026-09-12 23:05:03
100109028,501,23,100109,114,2026-09-07,28,80,80,2026-09-12 23:05:03
100109029,501,11,100109,114,2026-09-08,29,86,86,2026-09-12 23:05:03
100109030,501,11,100109,117,2026-09-09,30,19,19,2026-09-12 23:05:03
100110001,501,24,100110,110,2026-08-11,1,30,30,2026-09-12 23:05:03
100110002,501,25,100110,106,2026-08-12,2,3,3,2026-09-12 23:05:03
100110003,501,24,100110,103,2026-08-13,3,97,97,2026-09-12 23:05:03
100110004,501,26,100110,101,2026-08-14,4,72,72,2026-09-12 23:05:03
100110005,501,19,100110,105,2026-08-15,5,3,3,2026-09-12 23:05:03
100110006,501,10,100110,101,2026-08-16,6,71,71,2026-09-12 23:05:03
100110007,501,26,100110,112,2026-08-17,7,8,8,2026-09-12 23:05:03
100110008,501,14,100110,108,2026-08-18,8,27,27,2026-09-12 23:05:03
100110009,501,18,100110,102,2026-08-19,9,86,86,2026-09-12 23:05:03
100110010,501,19,100110,102,2026-08-20,10,61,61,2026-09-12 23:05:03
100110011,501,21,100110,102,2026-08-21,11,54,54,2026-09-12 23:05:03
100110012,501,23,100110,103,2026-08-22,12,80,80,2026-09-12 23:05:03
100110013,501,22,100110,107,2026-08-23,13,9,9,2026-09-12 23:05:03
100110014,501,10,100110,113,2026-08-24,14,13,13,2026-09-12 23:05:03
100110015,501,21,100110,117,2026-08-25,15,22,22,2026-09-12 23:05:03
100110016,501,23,100110,110,2026-08-26,16,96,96,2026-09-12 23:05:03
100110017,501,24,100110,118,2026-08-27,17,68,68,2026-09-12 23:05:03
100110018,501,17,100110,102,2026-08-28,18,87,87,2026-09-12 23:05:03
100110019,501,16,100110,101,2026-08-29,19,84,84,2026-09-12 23:05:03
100110020,501,23,100110,106,2026-08-30,20,30,30,2026-09-12 23:05:03
100110021,501,21,100110,117,2026-08-31,21,26,26,2026-09-12 23:05:03
100110022,501,17,100110,115,2026-09-01,22,76,76,2026-09-12 23:05:03
100110023,501,21,100110,107,2026-09-02,23,11,11,2026-09-12 23:05:03
100110024,501,29,100110,112,2026-09-03,24,3,3,2026-09-12 23:05:03
100110025,501,26,100110,118,2026-09-04,25,93,93,2026-09-12 23:05:03
100110026,501,17,100110,114,2026-09-05,26,16,16,2026-09-12 23:05:03
100110027,501,27,100110,109,2026-09-06,27,22,22,2026-09-12 23:05:03
100110028,501,25,100110,101,2026-09-07,28,75,75,2026-09-12 23:05:03
100110029,501,29,100110,111,2026-09-08,29,60,60,2026-09-12 23:05:03
100110030,501,23,100110,111,2026-09-09,30,31,31,2026-09-12 23:05:03
100501001,505,11,100501,107,2026-08-11,1,23,23,2026-09-12 23:05:03
100501002,505,13,100501,118,2026-08-12,2,26,26,2026-09-12 23:05:03
100501003,505,24,100501,114,2026-08-13,3,96,96,2026-09-12 23:05:03
100501004,505,16,100501,108,2026-08-14,4,66,66,2026-09-12 23:05:03
100501005,505,18,100501,107,2026-08-15,5,38,38,2026-09-12 23:05:03
100501006,505,14,100501,108,2026-08-16,6,56,56,2026-09-12 23:05:03
100501007,505,27,100501,108,2026-08-17,7,51,51,2026-09-12 23:05:03
100501008,505,17,100501,109,2026-08-18,8,84,84,2026-09-12 23:05:03
100501009,505,28,100501,101,2026-08-19,9,35,35,2026-09-12 23:05:03
100501010,505,25,100501,112,2026-08-20,10,73,73,2026-09-12 23:05:03
100501011,505,20,100501,118,2026-08-21,11,59,59,2026-09-12 23:05:03
100501012,505,18,100501,107,2026-08-22,12,96,96,2026-09-12 23:05:03
100501013,505,28,100501,115,2026-08-23,13,57,57,2026-09-12 23:05:03
100501014,505,22,100501,115,2026-08-24,14,3,3,2026-09-12 23:05:03
100501015,505,23,100501,107,2026-08-25,15,12,12,2026-09-12 23:05:03
100501016,505,26,100501,113,2026-08-26,16,3,3,2026-09-12 23:05:03
100501017,505,19,100501,115,2026-08-27,17,16,16,2026-09-12 23:05:03
100501018,505,12,100501,101,2026-08-28,18,69,69,2026-09-12 23:05:03
100501019,505,13,100501,117,2026-08-29,19,61,61,2026-09-12 23:05:03
100501020,505,24,100501,108,2026-08-30,20,11,11,2026-09-12 23:05:03
100501021,505,16,100501,117,2026-08-31,21,29,29,2026-09-12 23:05:03
100501022,505,18,100501,119,2026-09-01,22,17,17,2026-09-12 23:05:03
100501023,505,24,100501,108,2026-09-02,23,82,82,2026-09-12 23:05:03
100501024,505,18,100501,108,2026-09-03,24,8,8,2026-09-12 23:05:03
100501025,505,19,100501,102,2026-09-04,25,36,36,2026-09-12 23:05:03
100501026,505,16,100501,112,2026-09-05,26,55,55,2026-09-12 23:05:03
100501027,505,27,100501,115,2026-09-06,27,58,58,2026-09-12 23:05:03
100501028,505,24,100501,106,2026-09-07,28,41,41,2026-09-12 23:05:03
100501029,505,25,100501,117,2026-09-08,29,73,73,2026-09-12 23:05:03
100501030,505,26,100501,109,2026-09-09,30,52,52,2026-09-12 23:05:03
100502001,505,21,100502,101,2026-08-11,1,74,74,2026-09-12 23:05:03
100502002,505,14,100502,108,2026-08-12,2,10,10,2026-09-12 23:05:03
100502003,505,22,100502,110,2026-08-13,3,59,59,2026-09-12 23:05:03
100502004,505,19,100502,101,2026-08-14,4,53,53,2026-09-12 23:05:03
100502005,505,28,100502,110,2026-08-15,5,66,66,2026-09-12 23:05:03
100502006,505,14,100502,102,2026-08-16,6,24,24,2026-09-12 23:05:03
100502007,505,15,100502,105,2026-08-17,7,10,10,2026-09-12 23:05:03
100502008,505,15,100502,114,2026-08-18,8,36,36,2026-09-12 23:05:03
100502009,505,26,100502,115,2026-08-19,9,33,33,2026-09-12 23:05:03
100502010,505,28,100502,120,2026-08-20,10,55,55,2026-09-12 23:05:03
100502011,505,10,100502,106,2026-08-21,11,77,77,2026-09-12 23:05:03
100502012,505,12,100502,102,2026-08-22,12,46,46,2026-09-12 23:05:03
100502013,505,18,100502,114,2026-08-23,13,23,23,2026-09-12 23:05:03
100502014,505,27,100502,106,2026-08-24,14,32,32,2026-09-12 23:05:03
100502015,505,21,100502,119,2026-08-25,15,52,52,2026-09-12 23:05:03
100502016,505,14,100502,115,2026-08-26,16,39,39,2026-09-12 23:05:03
100502017,505,17,100502,109,2026-08-27,17,41,41,2026-09-12 23:05:03
100502018,505,20,100502,118,2026-08-28,18,62,62,2026-09-12 23:05:03
100502019,505,23,100502,109,2026-08-29,19,53,53,2026-09-12 23:05:03
100502020,505,14,100502,118,2026-08-30,20,53,53,2026-09-12 23:05:03
100502021,505,22,100502,116,2026-08-31,21,6,6,2026-09-12 23:05:03
100502022,505,15,100502,107,2026-09-01,22,92,92,2026-09-12 23:05:03
100502023,505,12,100502,118,2026-09-02,23,75,75,2026-09-12 23:05:03
100502024,505,16,100502,105,2026-09-03,24,80,80,2026-09-12 23:05:03
100502025,505,28,100502,115,2026-09-04,25,14,14,2026-09-12 23:05:03
